,Khu vực,Năm,Tỷ suất trẻ em chết dưới 1 tuổi
781,Bến Tre,2018,9.4
782,Cao Bằng,2018,23.0
783,Cà Mau,2018,10.9
784,CẢ NƯỚC,2018,14.2
785,Cần Thơ,2018,8.9
786,Gia Lai,2018,25.2
787,Hoà Bình,2018,32.3
788,Hà Giang,2018,11.6
789,Hà Nam,2018,9.8
790,Hà Nội,2018,16.5
791,Hà Tĩnh,2018,16.7
792,Hưng Yên,2018,11.8
793,Hải Dương,2018,11.3
794,Hải Phòng,2018,11.5
795,Hậu Giang,2018,9.7
796,Khánh Hoà,2018,13.5
797,Kiên Giang,2018,12.1
798,Kon Tum,2018,36.6
799,Lai Châu,2018,40.2
800,Long An,2018,9.2
801,Lào Cai,2018,27.7
802,Lâm Đồng,2018,15.7
803,Lạng Sơn,2018,17.6
804,Nam Định,2018,12.1
805,Nghệ An,2018,16.2
806,Ninh Bình,2018,13.8
807,Ninh Thuận,2018,15.7
808,Phú Thọ,2018,14.5
809,Phú Yên,2018,14.6
810,Quảng Bình,2018,16.3
811,Quảng Nam,2018,16.0
812,Quảng Ngãi,2018,17.2
813,Quảng Ninh,2018,14.5
814,Quảng Trị,2018,30.6
815,Sóc Trăng,2018,12.6
816,Sơn La,2018,22.0
817,TP.Hồ Chí Minh,2018,7.4
818,Thanh Hoá,2018,14.9
819,Thái Bình,2018,9.9
820,Thái Nguyên,2018,14.2
821,Thừa Thiên Huế,2018,19.2
822,Tiền Giang,2018,8.8
823,Trung du và miền núi phía Bắc,2018,21.4
824,Trà Vinh,2018,11.8
825,Tuyên Quang,2018,17.9
826,Tây Nguyên,2018,23.6
827,Tây Ninh,2018,11.3
828,Vĩnh Long,2018,9.7
829,Vĩnh Phúc,2018,12.4
830,Yên Bái,2018,25.9
831,Điện Biên,2018,32.5
832,Đà Nẵng,2018,8.5
833,Đông Nam Bộ,2018,8.2
834,Đắk Lắk,2018,23.1
835,Đắk Nông,2018,24.7
836,Đồng Nai,2018,7.4
837,Đồng Tháp,2018,11.4
838,Đồng bằng sông Cửu Long,2018,10.9
839,Đồng bằng sông Hồng,2018,11.2
840,An Giang,2019,13.6
841,Bà Rịa - Vũng Tàu,2019,7.7
842,Bình Dương,2019,8.5
843,Bình Phước,2019,13.3
844,Bình Thuận,2019,11.8
845,Bình Định,2019,14.3
846,Bạc Liêu,2019,11.5
847,Bắc Giang,2019,14.5
848,Bắc Kạn,2019,16.6
849,Bắc Ninh,2019,12.2
850,Bắc Trung Bộ và Duyên hải miền Trung,2019,15.4
851,Bến Tre,2019,9.2
852,Cao Bằng,2019,22.6
853,Cà Mau,2019,10.6
854,CẢ NƯỚC,2019,14.0
855,Cần Thơ,2019,8.8
856,Gia Lai,2019,24.8
857,Hoà Bình,2019,31.8
858,Hà Giang,2019,11.4
859,Hà Nam,2019,9.6
860,Hà Nội,2019,16.2
861,Hà Tĩnh,2019,16.5
862,Hưng Yên,2019,11.6
863,Hải Dương,2019,11.1
864,Hải Phòng,2019,11.4
865,Hậu Giang,2019,9.5
866,Khánh Hoà,2019,13.3
867,Kiên Giang,2019,11.9
868,Kon Tum,2019,36.0
869,Lai Châu,2019,39.6
870,Long An,2019,9.0
871,Lào Cai,2019,27.2
872,Lâm Đồng,2019,15.4
873,Lạng Sơn,2019,17.3
874,Nam Định,2019,11.9
875,Nghệ An,2019,15.9
876,Ninh Bình,2019,13.6
877,Ninh Thuận,2019,15.5
878,Phú Thọ,2019,14.2
879,Phú Yên,2019,14.3
880,Quảng Bình,2019,16.0
881,Quảng Nam,2019,15.7
882,Quảng Ngãi,2019,16.9
883,Quảng Ninh,2019,14.3
884,Quảng Trị,2019,30.2
885,Sóc Trăng,2019,12.4
886,Sơn La,2019,21.6
887,TP.Hồ Chí Minh,2019,7.3
888,Thanh Hoá,2019,14.6
889,Thái Bình,2019,9.7
890,Thái Nguyên,2019,13.9
891,Thừa Thiên Huế,2019,18.9
892,Tiền Giang,2019,8.6
893,Trung du và miền núi phía Bắc,2019,20.8
894,Trà Vinh,2019,11.6
895,Tuyên Quang,2019,17.6
896,Tây Nguyên,2019,23.4
897,Tây Ninh,2019,11.1
898,Vĩnh Long,2019,9.6
899,Vĩnh Phúc,2019,12.2
900,Yên Bái,2019,25.5
901,Điện Biên,2019,31.9
902,Đà Nẵng,2019,8.4
903,Đông Nam Bộ,2019,8.1
904,Đắk Lắk,2019,22.7
905,Đắk Nông,2019,24.3
906,Đồng Nai,2019,7.2
907,Đồng Tháp,2019,11.2
908,Đồng bằng sông Cửu Long,2019,10.7
909,Đồng bằng sông Hồng,2019,11.0
